name,device_id,latitude,longitude,timestamp
TerraBella,e00fce6808784ceaf209f949,35.955387,-119.036751,2023-08-08 22:50:00
Taft,e00fce682bbf742cd0b6768a,35.136047,-119.458931,2023-08-12 19:00:00
Tranquility,e00fce6835b6173deb1a1f49,36.634346,-120.382278,2023-06-21 16:30:00
Avenal,e00fce6850cac69f647dc199,36.01059,-120.140312,2023-07-10 19:20:01
Fresno,e00fce6856818e5885f65487,36.78548,-119.773064,2023-06-07 15:40:00
KettlemanCity,e00fce6858b443fd80f27170,36.003853,-119.979111,2023-06-29 16:30:00
Lanare,e00fce6876826e255108c6bd,36.433872,-119.922813,2023-06-21 16:10:00
CutlerOrosi,e00fce68e739ecbcf9e91965,36.529217,-119.293404,2023-07-07 09:10:00
LostHills,e00fce68e88237db75a60608,35.613243,-119.689575,2023-06-22 22:40:00
Coalinga,e00fce68f12da1a0c5de6248,36.139008,-120.36853,2023-07-03 16:47:01
